,model,accuracy,confusion matrix,training_time,test_time
0,SVM,0.7490356542234281,"[[114597  45351]
 [ 34934 125024]]",9.197906255722046,0.0070056915283203125
1,Random Forest,0.6939788562890349,"[[113725  46223]
 [ 51675 108283]]",46.068591594696045,0.5449674129486084
2,Naive Bayes,0.7361850043450263,"[[118500  41448]
 [ 42948 117010]]",0.20067238807678223,0.024521350860595703
3,KNN,0.6966296349552681,"[[107623  52325]
 [ 44725 115233]]",0.07156062126159668,7611.949006795883
4,Logistic Regression,0.7492607203365989,"[[115163  44785]
 [ 35428 124530]]",7.822221040725708,0.007506132125854492
5,Neural Network,0.761595593705651,"[[121158  38790]
 [ 37477 122481]]",1185.8205742835999,4.549908876419067
6,SVM,0.7470194369596069,"[[114306  45642]
 [ 35288 124670]]",8.949690580368042,0.007505893707275391
7,Random Forest,0.6921220608553763,"[[113289  46659]
 [ 51833 108125]]",44.334102630615234,0.5334572792053223
8,Naive Bayes,0.7358161459928854,"[[118308  41640]
 [ 42874 117084]]",0.2016735076904297,0.023519277572631836
9,KNN,0.6977018249110676,"[[103815  56133]
 [ 40574 119384]]",0.07556486129760742,6576.013380527496
10,Logistic Regression,0.7475195838777641,"[[114918  45030]
 [ 35740 124218]]",7.681602239608765,0.007005214691162109
11,Neural Network,0.7601920564165724,"[[116412  43536]
 [ 33180 126778]]",1142.4110140800476,4.401281833648682
12,SVM,0.7493513719655148,"[[114843  45105]
 [ 35079 124879]]",8.422739028930664,0.007005453109741211
13,Random Forest,0.6943695960688452,"[[114253  45695]
 [ 52078 107880]]",39.17766785621643,0.5124421119689941
14,Naive Bayes,0.7363413002569504,"[[118673  41275]
 [ 43071 116887]]",0.2041769027709961,0.023520231246948242
15,KNN,0.6974705069614199,"[[106468  53480]
 [ 43301 116657]]",0.07306480407714844,6712.440479040146
16,Logistic Regression,0.7499734296949729,"[[115470  44478]
 [ 35507 124451]]",7.927813291549683,0.007005929946899414
17,Neural Network,0.7619269410389302,"[[121827  38121]
 [ 38040 121918]]",1128.1485381126404,4.438313961029053
18,SVM,0.7488191806942686,"[[114646  45301]
 [ 35053 124905]]",8.436251640319824,0.007504940032958984
19,Random Forest,0.6973664056516778,"[[113394  46553]
 [ 50261 109697]]",38.44453740119934,0.5164434909820557
20,Naive Bayes,0.7368093652803176,"[[118752  41195]
 [ 43001 116957]]",0.19516849517822266,0.024021148681640625
21,KNN,0.7014394898485488,"[[105883  54064]
 [ 41447 118511]]",0.07456588745117188,6746.812314271927
22,Logistic Regression,0.7491067660711774,"[[115264  44683]
 [ 35579 124379]]",8.236079216003418,0.007007122039794922
23,Neural Network,0.7623638267610697,"[[120905  39042]
 [ 36979 122979]]",1133.4198896884918,4.192102909088135
24,SVM,0.7474969131460902,"[[114327  45621]
 [ 35156 124801]]",8.494301080703735,0.0075054168701171875
25,Random Forest,0.6980197246057424,"[[113183  46765]
 [ 49840 110117]]",41.272469997406006,0.530956506729126
26,Naive Bayes,0.7360341351338678,"[[118436  41512]
 [ 42932 117025]]",0.20167183876037598,0.02552342414855957
27,KNN,0.6985605101514513,"[[103780  56168]
 [ 40264 119693]]",0.07956862449645996,7757.353220939636
28,Logistic Regression,0.7482533877244807,"[[115021  44927]
 [ 35608 124349]]",8.146501541137695,0.007506608963012695
29,Neural Network,0.7600631437457995,"[[121117  38831]
 [ 37926 122031]]",1132.1837134361267,4.191098928451538
